                              | PREDICT__________________________________________| 
12/14/2025 23:31:37    301    | -17660.53516    0.009770743549  0.02689726278    | -17660.52539    
12/14/2025 23:31:37    302    | -17660.45117    0.007818897255  0.03239614889    | -17660.44336    
12/14/2025 23:31:37    303    | -17660.51758    0.009770743549  0.02899692394    | -17660.52734    
12/14/2025 23:31:37    304    | -17660.67969    0.007818897255  0.02017081715    | -17660.67188    
12/14/2025 23:31:37    305    | -17660.40039    0.00197855942   0.03136806935    | -17660.40234    
12/14/2025 23:31:37    306    | -17660.50195    0.009770743549  0.0276911743     | -17660.49219    
12/14/2025 23:31:37    307    | -17660.52734    0.01172301546   0.02494414523    | -17660.51562    
12/14/2025 23:31:37    308    | -17660.51172    0.00197855942   0.02499496937    | -17660.50977    
12/14/2025 23:31:37    309    | -17660.58203    0.01367553137   0.02087148279    | -17660.56836    
12/14/2025 23:31:37    310    | -17660.30078    0.0003162277571 0.03031072766    | -17660.30078    
12/14/2025 23:31:37    311    | -17660.37305    0.003919029143  0.02967278287    | -17660.36914    
12/14/2025 23:31:37    312    | -17660.65625    0.009770743549  0.02263454534    | -17660.64648    
12/14/2025 23:31:37    313    | -17660.39648    0.009770743549  0.036733374      | -17660.38672    
12/14/2025 23:31:37    314    | -17660.37695    0.01367553137   0.02875294723    | -17660.36328    
12/14/2025 23:31:37    315    | -17660.53516    0.00197855942   0.02843627706    | -17660.5332     
12/14/2025 23:31:37    316    | -17660.48633    0.009770743549  0.02268152125    | -17660.47656    
12/14/2025 23:31:37    317    | -17660.2832     0.03711072356   0.03129985929    | -17660.24609    
12/14/2025 23:31:38    318    | -17660.4375     0.005867902189  0.024959784      | -17660.44336    
12/14/2025 23:31:38    319    | -17660.65234    0.00197855942   0.01702434383    | -17660.6543     
12/14/2025 23:31:38    320    | -17660.36523    0.005867902189  0.03253123909    | -17660.37109    
12/14/2025 23:31:38    321    | -17660.42773    0.009770743549  0.02748770453    | -17660.4375     
12/14/2025 23:31:38    322    | -17660.45312    0.00197855942   0.0223919861     | -17660.45508    
12/14/2025 23:31:38    323    | -17660.55469    0.01172301546   0.02453851514    | -17660.56641    
12/14/2025 23:31:38    324    | -17660.20898    0.00197855942   0.03869593889    | -17660.21094    
12/14/2025 23:31:38    325    | -17660.51953    0.007818897255  0.03244701773    | -17660.51172    
12/14/2025 23:31:38    326    | -17660.60547    0.02343963273   0.02811205387    | -17660.58203    
12/14/2025 23:31:38    327    | -17660.43359    0.01758096926   0.02767625265    | -17660.41602    
12/14/2025 23:31:38    328    | -17660.15234    0.005867902189  0.03948320821    | -17660.1582     
12/14/2025 23:31:38    329    | -17660.38867    0.03515767306   0.03690489382    | -17660.42383    
12/14/2025 23:31:38    330    | -17660.53516    0.01562820002   0.04258462042    | -17660.55078    
12/14/2025 23:31:38    331    | -17660.42188    0.005867902189  0.03556414694    | -17660.42773    
12/14/2025 23:31:38    332    | -17660.41016    0.00197855942   0.0480956845     | -17660.41211    
12/14/2025 23:31:38    333    | -17660.48047    0.04296991229   0.03792041168    | -17660.52344    
12/14/2025 23:31:38    334    | -17660.38281    0.005867902189  0.02870712988    | -17660.38867    
12/14/2025 23:31:38    335    | -17660.45703    0.003919029143  0.02920319326    | -17660.45312    
12/14/2025 23:31:38    336    | -17660.71484    0.01953380927   0.02571502142    | -17660.73438    
12/14/2025 23:31:38    337    | -17660.37695    0.02734557912   0.02957903966    | -17660.4043     
12/14/2025 23:31:38    338    | -17660.3125     0.02734557912   0.03343965113    | -17660.33984    
12/14/2025 23:31:38    339    | -17660.21875    0.007818897255  0.02937034331    | -17660.22656    
12/14/2025 23:31:38    340    | -17660.31055    0.009770743549  0.02924477868    | -17660.32031    
12/14/2025 23:31:38    341    | -17660.45508    0.009770743549  0.03083060868    | -17660.46484    
12/14/2025 23:31:38    342    | -17660.62305    0.005867902189  0.01786906458    | -17660.61719    
12/14/2025 23:31:38    343    | -17660.41797    0.009770743549  0.02725580335    | -17660.42773    
12/14/2025 23:31:38    344    | -17660.52539    0.01367553137   0.02321858704    | -17660.51172    
12/14/2025 23:31:38    345    | -17660.20508    0.007818897255  0.0358559452     | -17660.19727    
12/14/2025 23:31:38    346    | -17660.52539    0.0003162277571 0.03398841619    | -17660.52539    
12/14/2025 23:31:38    347    | -17660.54102    0.00197855942   0.03400306031    | -17660.53906    
12/14/2025 23:31:38    348    | -17660.30664    0.007818897255  0.04936843738    | -17660.31445    
12/14/2025 23:31:38    349    | -17660.38867    0.0722663179    0.04193491116    | -17660.46094    
12/14/2025 23:31:39    350    | -17660.42773    0.01367553137   0.03391210735    | -17660.44141    
12/14/2025 23:31:39    351    | -17660.23633    0.02734557912   0.03691846505    | -17660.26367    
12/14/2025 23:31:39    352    | -17660.41406    0.04882914945   0.04634435475    | -17660.46289    
12/14/2025 23:31:39    353    | -17660.38281    0.003919029143  0.04521950707    | -17660.38672    
12/14/2025 23:31:39    354    | -17660.58984    0.01172301546   0.02861575224    | -17660.60156    
12/14/2025 23:31:39    355    | -17660.27734    0.02539259382   0.0357785821     | -17660.30273    
12/14/2025 23:31:39    356    | -17660.06641    0.02343963273   0.04636473581    | -17660.08984    
12/14/2025 23:31:39    357    | -17660.30859    0.02734557912   0.03832675889    | -17660.33594    
12/14/2025 23:31:39    358    | -17660.55273    0.03515767306   0.04179701209    | -17660.58789    
12/14/2025 23:31:39    359    | -17660.42578    0.03515767306   0.03816242889    | -17660.46094    
12/14/2025 23:31:39    360    | -17660.2168     0.03515767306   0.03303164244    | -17660.25195    
12/14/2025 23:31:39    361    | -17660.64648    0.03515767306   0.03362916037    | -17660.68164    
12/14/2025 23:31:39    362    | -17660.17383    0.00197855942   0.05100554973    | -17660.17188    
12/14/2025 23:31:39    363    | -17660.34961    0.02539259382   0.03803632036    | -17660.375      
12/14/2025 23:31:39    364    | -17660.36133    0.02343963273   0.02928813919    | -17660.38477    
12/14/2025 23:31:39    365    | -17660.42969    0.003919029143  0.03386409208    | -17660.43359    
12/14/2025 23:31:39    366    | -17660.59766    0.01953380927   0.02371303923    | -17660.61719    
12/14/2025 23:31:39    367    | -17660.27539    0.03711072356   0.03510878235    | -17660.3125     
12/14/2025 23:31:39    368    | -17660.10938    0.01562820002   0.03939244151    | -17660.125      
12/14/2025 23:31:39    369    | -17660.36523    0.02539259382   0.03376969695    | -17660.39062    
12/14/2025 23:31:39    370    | -17660.60938    0.009770743549  0.0321380496     | -17660.61914    
12/14/2025 23:31:39    371    | -17660.26758    0.009770743549  0.03174178302    | -17660.27734    
12/14/2025 23:31:39    372    | -17660.5293     0.01758096926   0.03452174366    | -17660.54688    
12/14/2025 23:31:39    373    | -17660.48242    0.03125159815   0.02879134938    | -17660.51367    
12/14/2025 23:31:39    374    | -17660.56641    0.03125159815   0.03187042102    | -17660.59766    
12/14/2025 23:31:39    375    | -17660.59961    0.01562820002   0.0330555886     | -17660.61523    
12/14/2025 23:31:39    376    | -17660.63086    0.009770743549  0.02883733995    | -17660.64062    
12/14/2025 23:31:39    377    | -17660.41992    0.003919029143  0.04341287166    | -17660.41602    
12/14/2025 23:31:39    378    | -17660.4375     0.0003162277571 0.03304317966    | -17660.4375     
12/14/2025 23:31:39    379    | -17660.14258    0.01367553137   0.05565378442    | -17660.15625    
12/14/2025 23:31:39    380    | -17660.55859    0.007818897255  0.02658878639    | -17660.56641    
12/14/2025 23:31:40    381    | -17660.17578    0.00197855942   0.033538647      | -17660.17383    
12/14/2025 23:31:40    382    | -17660.2832     0.005867902189  0.03504052758    | -17660.28906    
12/14/2025 23:31:40    383    | -17660.37109    0.007818897255  0.0330661796     | -17660.37891    
12/14/2025 23:31:40    384    | -17660.27734    0.02539259382   0.02637348324    | -17660.30273    
12/14/2025 23:31:40    385    | -17660.46875    0.02343963273   0.02437291853    | -17660.49219    
12/14/2025 23:31:40    386    | -17660.13281    0.003919029143  0.03738589585    | -17660.13672    
12/14/2025 23:31:40    387    | -17660.4375     0.02148670144   0.03621390089    | -17660.45898    
12/14/2025 23:31:40    388    | -17660.58398    0.009770743549  0.03196360171    | -17660.59375    
12/14/2025 23:31:40    389    | -17660.63477    0.003919029143  0.03358175233    | -17660.63086    
12/14/2025 23:31:40    390    | -17660.60547    0.04296991229   0.04329346493    | -17660.64844    
12/14/2025 23:31:40    391    | -17660.375      0.03711072356   0.03872879595    | -17660.41211    
12/14/2025 23:31:40    392    | -17660.36328    0.007818897255  0.03290588781    | -17660.37109    
12/14/2025 23:31:40    393    | -17660.52344    0.03320463002   0.03222346678    | -17660.55664    
12/14/2025 23:31:40    394    | -17660.31641    0.005867902189  0.03390046954    | -17660.31055    
12/14/2025 23:31:40    395    | -17660.36523    0.02539259382   0.035987854      | -17660.39062    
12/14/2025 23:31:40    396    | -17660.50586    0.01953380927   0.03931185231    | -17660.52539    
12/14/2025 23:31:40    397    | -17660.24414    0.00197855942   0.04967663065    | -17660.24609    
12/14/2025 23:31:40    398    | -17660.61914    0.005867902189  0.02904115804    | -17660.625      
12/14/2025 23:31:40    399    | -17660.39062    0.01367553137   0.0460168086     | -17660.4043     
12/14/2025 23:31:40    400    | -17660.42578    0.02539259382   0.03020403348    | -17660.45117    
12/14/2025 23:31:40    401    | -17660.24219    0.003919029143  0.03951423243    | -17660.23828    
12/14/2025 23:31:40    402    | -17660.26172    0.003919029143  0.03667668626    | -17660.26562    
12/14/2025 23:31:40    403    | -17659.91211    0.04296991229   0.06192622706    | -17659.95508    
12/14/2025 23:31:40    404    | -17660.21484    0.007818897255  0.05606912449    | -17660.22266    
12/14/2025 23:31:40    405    | -17660.45898    0.003919029143  0.03049779125    | -17660.46289    
12/14/2025 23:31:40    406    | -17660.56836    0.01172301546   0.02863126434    | -17660.58008    
12/14/2025 23:31:40    407    | -17660.31445    0.00197855942   0.03362758085    | -17660.3125     
12/14/2025 23:31:40    408    | -17660.25195    0.0003162277571 0.02829109505    | -17660.25195    
12/14/2025 23:31:40    409    | -17659.81641    0.01367553137   0.03259337321    | -17659.80273    
12/14/2025 23:31:41    410    | -17660.31836    0.003919029143  0.02762978896    | -17660.31445    
12/14/2025 23:31:41    411    | -17660.38867    0.02148670144   0.02700110897    | -17660.36719    
12/14/2025 23:31:41    412    | -17660.67969    0.007818897255  0.0230100695     | -17660.67188    
12/14/2025 23:31:41    413    | -17660.43359    0.005867902189  0.03073387593    | -17660.42773    
12/14/2025 23:31:41    414    | -17660.41211    0.01953380927   0.03320117295    | -17660.39258    
12/14/2025 23:31:41    415    | -17660.19531    0.01367553137   0.02959842235    | -17660.18164    
12/14/2025 23:31:41    416    | -17660.16406    0.009770743549  0.04921993986    | -17660.17383    
12/14/2025 23:31:41    417    | -17660.42969    0.02734557912   0.02684589848    | -17660.40234    
12/14/2025 23:31:41    418    | -17660.25781    0.02343963273   0.03019839339    | -17660.23438    
12/14/2025 23:31:41    419    | -17660.35938    0.02929858118   0.03000820614    | -17660.33008    
12/14/2025 23:31:41    420    | -17660.36523    0.009770743549  0.02532557212    | -17660.35547    
12/14/2025 23:31:41    421    | -17660.24609    0.007818897255  0.029594291      | -17660.23828    
12/14/2025 23:31:41    422    | -17660.25781    0.00197855942   0.0446742475     | -17660.25977    
12/14/2025 23:31:41    423    | -17660.19531    0.03125159815   0.02823513933    | -17660.16406    
12/14/2025 23:31:41    424    | -17660.29297    0.02929858118   0.03030469269    | -17660.26367    
12/14/2025 23:31:41    425    | -17660.13281    0.01367553137   0.05090465397    | -17660.14648    
12/14/2025 23:31:41    426    | -17660.54492    0.007818897255  0.04302894697    | -17660.55273    
12/14/2025 23:31:41    427    | -17660.47461    0.02539259382   0.02712060325    | -17660.44922    
12/14/2025 23:31:41    428    | -17660.27734    0.01562820002   0.03189457208    | -17660.26172    
12/14/2025 23:31:41    429    | -17660.39648    0.01367553137   0.02806233428    | -17660.38281    
12/14/2025 23:31:41    430    | -17660.55273    0.00197855942   0.0409465991     | -17660.55078    
12/14/2025 23:31:41    431    | -17660.31445    0.01562820002   0.03344308957    | -17660.29883    
12/14/2025 23:31:41    432    | -17660.54102    0.0390637815    0.02573134564    | -17660.50195    
12/14/2025 23:31:41    433    | -17659.98828    0.01367553137   0.03375857323    | -17659.97461    
12/14/2025 23:31:41    434    | -17659.93164    0.02148670144   0.04700683057    | -17659.91016    
12/14/2025 23:31:41    435    | -17660.13281    0.01758096926   0.03643667325    | -17660.11523    
12/14/2025 23:31:41    436    | -17660.5625     0.03515767306   0.03687433526    | -17660.52734    
12/14/2025 23:31:41    437    | -17660.12891    0.02343963273   0.03694656864    | -17660.10547    
12/14/2025 23:31:41    438    | -17660.0918     0.007818897255  0.0394715108     | -17660.08398    
12/14/2025 23:31:41    439    | -17660.44531    0.03711072356   0.03700673953    | -17660.4082     
12/14/2025 23:31:41    440    | -17660.44336    0.01367553137   0.03119361959    | -17660.45703    
12/14/2025 23:31:42    441    | -17660.21094    0.01562820002   0.03542198241    | -17660.22656    
12/14/2025 23:31:42    442    | -17660.26562    0.01367553137   0.03285915405    | -17660.2793     
12/14/2025 23:31:42    443    | -17660.70117    0.005867902189  0.02609511092    | -17660.70703    
12/14/2025 23:31:42    444    | -17660.55859    0.01172301546   0.03212082759    | -17660.57031    
12/14/2025 23:31:42    445    | -17660.3457     0.00197855942   0.02398442663    | -17660.34766    
12/14/2025 23:31:42    446    | -17660.41211    0.005867902189  0.02804560587    | -17660.41797    
12/14/2025 23:31:42    447    | -17660.61328    0.003919029143  0.02516143583    | -17660.61719    
12/14/2025 23:31:42    448    | -17660.33203    0.01367553137   0.03671460226    | -17660.3457     
12/14/2025 23:31:42    449    | -17660.61328    0.0003162277571 0.02706249245    | -17660.61328    
12/14/2025 23:31:42    450    | -17660.4375     0.005867902189  0.03199374676    | -17660.43164    
12/14/2025 23:31:42    451    | -17660.32031    0.009770743549  0.03706540167    | -17660.33008    
12/14/2025 23:31:42    452    | -17660.31641    0.003919029143  0.03272577748    | -17660.3125     
12/14/2025 23:31:42    453    | -17660.52148    0.007818897255  0.03084826283    | -17660.5293     
12/14/2025 23:31:42    454    | -17660.38867    0.00197855942   0.02708381414    | -17660.38672    
12/14/2025 23:31:42    455    | -17660.45703    0.0003162277571 0.03191826493    | -17660.45703    
12/14/2025 23:31:42    456    | -17660.0918     0.01367553137   0.04386883974    | -17660.10547    
12/14/2025 23:31:42    457    | -17660.26953    0.003919029143  0.03744286671    | -17660.26562    
12/14/2025 23:31:42    458    | -17660.33203    0.01367553137   0.03189806268    | -17660.31836    
12/14/2025 23:31:42    459    | -17659.95703    0.003919029143  0.04694621637    | -17659.95312    
12/14/2025 23:31:42    460    | -17660.45508    0.04101684317   0.04261127859    | -17660.41406    
12/14/2025 23:31:42    461    | -17660.30859    0.02148670144   0.02351005375    | -17660.28711    
12/14/2025 23:31:42    462    | -17660.28516    0.02148670144   0.03672435507    | -17660.26367    
12/14/2025 23:31:42    463    | -17660.47461    0.01562820002   0.04384960234    | -17660.49023    
12/14/2025 23:31:42    464    | -17660.18164    0.02343963273   0.04036443681    | -17660.1582     
12/14/2025 23:31:42    465    | -17660.3457     0.0003162277571 0.03166359663    | -17660.3457     
12/14/2025 23:31:42    466    | -17660.15039    0.03515767306   0.04708951712    | -17660.11523    
12/14/2025 23:31:42    467    | -17660.16016    0.003919029143  0.0385802798     | -17660.15625    
12/14/2025 23:31:42    468    | -17660.57617    0.01758096926   0.02922731638    | -17660.55859    
12/14/2025 23:31:42    469    | -17660.30859    0.00197855942   0.02790284716    | -17660.30664    
12/14/2025 23:31:42    470    | -17660.41211    0.01562820002   0.03787643462    | -17660.39648    
12/14/2025 23:31:42    471    | -17660.54883    0.01367553137   0.0256388057     | -17660.53516    
12/14/2025 23:31:43    472    | -17660.48633    0.005867902189  0.02434705757    | -17660.48047    
12/14/2025 23:31:43    473    | -17660.64648    0.003919029143  0.0287628267     | -17660.64258    
12/14/2025 23:31:43    474    | -17660.46875    0.00197855942   0.03197745979    | -17660.4668     
12/14/2025 23:31:43    475    | -17660.17383    0.00197855942   0.04394762963    | -17660.17188    
12/14/2025 23:31:43    476    | -17660.42773    0.00197855942   0.03095256351    | -17660.42578    
12/14/2025 23:31:43    477    | -17660.26562    0.02148670144   0.03733073175    | -17660.28711    
12/14/2025 23:31:43    478    | -17660.25586    0.005867902189  0.02896731719    | -17660.25       
12/14/2025 23:31:43    479    | -17660.41797    0.00197855942   0.02201060019    | -17660.41992    
12/14/2025 23:31:43    480    | -17660.68945    0.00197855942   0.0212020576     | -17660.6875     
12/14/2025 23:31:43    481    | -17660.25       0.005867902189  0.03473002464    | -17660.24414    
12/14/2025 23:31:43    482    | -17660.55664    0.005867902189  0.03355913609    | -17660.55078    
12/14/2025 23:31:43    483    | -17660.73047    0.005867902189  0.02721029706    | -17660.73633    
12/14/2025 23:31:43    484    | -17660.45117    0.03125159815   0.03135900199    | -17660.41992    
12/14/2025 23:31:43    485    | -17660.64062    0.009770743549  0.02237922698    | -17660.63086    
12/14/2025 23:31:43    486    | -17660.17188    0.02148670144   0.03713006526    | -17660.15039    
12/14/2025 23:31:43    487    | -17660.49023    0.0003162277571 0.02465256304    | -17660.49023    
12/14/2025 23:31:43    488    | -17660.17188    0.01953380927   0.03324407339    | -17660.15234    
12/14/2025 23:31:43    489    | -17660.51562    0.0003162277571 0.02572256513    | -17660.51562    
12/14/2025 23:31:43    490    | -17660.35352    0.02734557912   0.03203082085    | -17660.32617    
12/14/2025 23:31:43    491    | -17660.61133    0.00197855942   0.03442879766    | -17660.61328    
12/14/2025 23:31:43    492    | -17660.61523    0.01367553137   0.02406717464    | -17660.60156    
12/14/2025 23:31:43    493    | -17660.2832     0.005867902189  0.03021078929    | -17660.27734    
12/14/2025 23:31:43    494    | -17659.97266    0.005867902189  0.0497075431     | -17659.9668     
12/14/2025 23:31:43    495    | -17660.43164    0.003919029143  0.02101483941    | -17660.42773    
12/14/2025 23:31:43    496    | -17660.36328    0.009770743549  0.02767910995    | -17660.35352    
12/14/2025 23:31:43    497    | -17660.52344    0.01758096926   0.02589687705    | -17660.50586    
12/14/2025 23:31:43    498    | -17660.44531    0.005867902189  0.03050770611    | -17660.43945    
12/14/2025 23:31:43    499    | -17660.24609    0.00197855942   0.03348312527    | -17660.24805    
12/14/2025 23:31:43    500    | -17660.21094    0.00197855942   0.04147753865    | -17660.20898    
12/14/2025 23:31:44    501    | -17660.23828    0.02734557912   0.03319682181    | -17660.21094    
12/14/2025 23:31:44    502    | -17660.69727    0.00197855942   0.03376506642    | -17660.69922    
12/14/2025 23:31:44    503    | -17660.68555    0.003919029143  0.02579975501    | -17660.68164    
12/14/2025 23:31:44    504    | -17660.39453    0.01562820002   0.02980718948    | -17660.37891    
12/14/2025 23:31:44    505    | -17660.46094    0.00197855942   0.03091880493    | -17660.45898    
12/14/2025 23:31:44    506    | -17660.33789    0.005867902189  0.03699050471    | -17660.33203    
12/14/2025 23:31:44    507    | -17660.69336    0.003919029143  0.02969156206    | -17660.69727    
12/14/2025 23:31:44    508    | -17660.34961    0.01367553137   0.02430125698    | -17660.33594    
12/14/2025 23:31:44    509    | -17660.41992    0.009770743549  0.03097491153    | -17660.41016    
12/14/2025 23:31:44    510    | -17660.55078    0.00197855942   0.0288638249     | -17660.54883    
12/14/2025 23:31:44    511    | -17660.55859    0.01367553137   0.02318707667    | -17660.54492    
12/14/2025 23:31:44    512    | -17660.60156    0.00197855942   0.02739381604    | -17660.59961    
12/14/2025 23:31:44    513    | -17660.2207     0.003919029143  0.02924309112    | -17660.2168     
12/14/2025 23:31:44    514    | -17660.52148    0.009770743549  0.02686310001    | -17660.51172    
12/14/2025 23:31:44    515    | -17660.4082     0.003919029143  0.03477237746    | -17660.4043     
12/14/2025 23:31:44    516    | -17660.3125     0.009770743549  0.02949078195    | -17660.30273    
12/14/2025 23:31:44    517    | -17660.60547    0.00197855942   0.03400634974    | -17660.60352    
12/14/2025 23:31:44    518    | -17660.48633    0.01562820002   0.0314713791     | -17660.4707     
12/14/2025 23:31:44    519    | -17660.43164    0.01172301546   0.03243248165    | -17660.44336    
12/14/2025 23:31:44    520    | -17660.37109    0.005867902189  0.02838912234    | -17660.37695    
12/14/2025 23:31:44    521    | -17660.5332     0.01172301546   0.02148868144    | -17660.52148    
12/14/2025 23:31:44    522    | -17660.26758    0.005867902189  0.03236770257    | -17660.26172    
12/14/2025 23:31:44    523    | -17660.35156    0.00197855942   0.02936957031    | -17660.34961    
12/14/2025 23:31:44    524    | -17660.19727    0.00197855942   0.02828947827    | -17660.19922    
12/14/2025 23:31:44    525    | -17660.39648    0.01172301546   0.04745174944    | -17660.38477    
12/14/2025 23:31:44    526    | -17660.53125    0.00197855942   0.02881173976    | -17660.5293     
12/14/2025 23:31:44    527    | -17660.27148    0.01758096926   0.02484696731    | -17660.25391    
12/14/2025 23:31:44    528    | -17660.41992    0.005867902189  0.03884344921    | -17660.42578    
12/14/2025 23:31:44    529    | -17660.375      0.003919029143  0.03238034248    | -17660.37891    
12/14/2025 23:31:44    530    | -17660.16406    0.009770743549  0.02844868787    | -17660.17383    
12/14/2025 23:31:45    531    | -17660.15625    0.003919029143  0.0294303149     | -17660.15234    
12/14/2025 23:31:45    532    | -17660.37305    0.0003162277571 0.02855133265    | -17660.37305    
12/14/2025 23:31:45    533    | -17660.31445    0.005867902189  0.0264016632     | -17660.30859    
12/14/2025 23:31:45    534    | -17660.11719    0.01367553137   0.03665530309    | -17660.10352    
12/14/2025 23:31:45    535    | -17660.5957     0.01758096926   0.02510986477    | -17660.61328    
12/14/2025 23:31:45    536    | -17660.36328    0.0003162277571 0.0273730047     | -17660.36328    
12/14/2025 23:31:45    537    | -17660.38086    0.003919029143  0.0365607962     | -17660.38477    
12/14/2025 23:31:45    538    | -17660.18945    0.01172301546   0.03907813877    | -17660.20117    
12/14/2025 23:31:45    539    | -17660.46484    0.02929858118   0.05263702944    | -17660.49414    
12/14/2025 23:31:45    540    | -17660.5957     0.01367553137   0.03253405541    | -17660.60938    
12/14/2025 23:31:45    541    | -17660.58984    0.02539259382   0.04899796844    | -17660.61523    
12/14/2025 23:31:45    542    | -17660.61914    0.01367553137   0.0291321408     | -17660.63281    
12/14/2025 23:31:45    543    | -17660.66797    0.00197855942   0.02773316205    | -17660.66992    
12/14/2025 23:31:45    544    | -17660.54883    0.01172301546   0.02686849236    | -17660.56055    
12/14/2025 23:31:45    545    | -17660.46484    0.003919029143  0.02948394418    | -17660.46094    
12/14/2025 23:31:45    546    | -17660.25781    0.01953380927   0.03734425083    | -17660.27734    
12/14/2025 23:31:45    547    | -17660.5625     0.005867902189  0.01968370378    | -17660.56836    
12/14/2025 23:31:45    548    | -17660.51953    0.003919029143  0.03378777206    | -17660.52344    
12/14/2025 23:31:45    549    | -17660.63867    0.007818897255  0.02196056955    | -17660.64648    
12/14/2025 23:31:45    550    | -17660.42773    0.01367553137   0.02523866482    | -17660.41406    
12/14/2025 23:31:45    551    | -17660.66992    0.009770743549  0.02192642353    | -17660.66016    
12/14/2025 23:31:45    552    | -17660.40625    0.007818897255  0.02834293991    | -17660.39844    
12/14/2025 23:31:45    553    | -17660.70312    0.00197855942   0.02966293506    | -17660.70117    
12/14/2025 23:31:45    554    | -17660.7168     0.00197855942   0.02672043256    | -17660.71484    
12/14/2025 23:31:45    555    | -17660.57812    0.01172301546   0.03320357576    | -17660.56641    
12/14/2025 23:31:45    556    | -17660.69727    0.01172301546   0.0173950363     | -17660.68555    
12/14/2025 23:31:45    557    | -17660.83008    0.003919029143  0.02102956362    | -17660.82617    
12/14/2025 23:31:45    558    | -17660.64844    0.007818897255  0.02964669839    | -17660.64062    
12/14/2025 23:31:45    559    | -17660.68164    0.00197855942   0.0242172163     | -17660.68359    
12/14/2025 23:31:45    560    | -17660.55859    0.00197855942   0.02235691808    | -17660.55664    
12/14/2025 23:31:45    561    | -17660.44727    0.00197855942   0.02769475244    | -17660.44531    
12/14/2025 23:31:46    562    | -17660.31055    0.00197855942   0.0254574623     | -17660.3125     
12/14/2025 23:31:46    563    | -17660.56445    0.00197855942   0.02689362317    | -17660.5625     
12/14/2025 23:31:46    564    | -17660.37109    0.01172301546   0.03892672434    | -17660.35938    
12/14/2025 23:31:46    565    | -17660.57031    0.005867902189  0.02772007883    | -17660.56445    
12/14/2025 23:31:46    566    | -17660.60156    0.01172301546   0.0305138696     | -17660.61328    
12/14/2025 23:31:46    567    | -17660.16602    0.005867902189  0.03549215198    | -17660.17188    
12/14/2025 23:31:46    568    | -17660.38867    0.00197855942   0.0256713815     | -17660.38672    
12/14/2025 23:31:46    569    | -17660.43945    0.01562820002   0.02873438038    | -17660.45508    
12/14/2025 23:31:46    570    | -17660.59766    0.003919029143  0.02234040946    | -17660.59375    
12/14/2025 23:31:46    571    | -17660.29102    0.003919029143  0.03523953632    | -17660.29492    
12/14/2025 23:31:46    572    | -17659.89453    0.00197855942   0.0312547572     | -17659.89258    
12/14/2025 23:31:46    573    | -17660.35938    0.01172301546   0.03122165613    | -17660.34766    
12/14/2025 23:31:46    574    | -17660.44531    0.00197855942   0.03603317961    | -17660.44336    
12/14/2025 23:31:46    575    | -17660.49805    0.01953380927   0.02768489718    | -17660.51758    
12/14/2025 23:31:46    576    | -17660.20703    0.00197855942   0.03677355498    | -17660.20508    
12/14/2025 23:31:46    577    | -17660.60156    0.009770743549  0.02528768592    | -17660.5918     
12/14/2025 23:31:46    578    | -17660.49023    0.01758096926   0.03251874447    | -17660.50781    
12/14/2025 23:31:46    579    | -17660.42773    0.01562820002   0.02666563541    | -17660.44336    
12/14/2025 23:31:46    580    | -17660.58203    0.009770743549  0.03033083864    | -17660.57227    
12/14/2025 23:31:46    581    | -17660.44922    0.01367553137   0.03728454933    | -17660.43555    
12/14/2025 23:31:46    582    | -17660.59961    0.003919029143  0.02661571279    | -17660.60352    
12/14/2025 23:31:46    583    | -17660.36328    0.005867902189  0.02595755085    | -17660.35742    
12/14/2025 23:31:46    584    | -17660.53516    0.01172301546   0.02941978164    | -17660.54688    
12/14/2025 23:31:46    585    | -17660.29102    0.01172301546   0.03104379959    | -17660.2793     
12/14/2025 23:31:46    586    | -17660.53711    0.04296991229   0.03427276015    | -17660.49414    
12/14/2025 23:31:46    587    | -17660.63281    0.02929858118   0.02896565944    | -17660.60352    
12/14/2025 23:31:46    588    | -17660.33203    0.005867902189  0.03679859638    | -17660.32617    
12/14/2025 23:31:46    589    | -17660.60742    0.00197855942   0.02581705339    | -17660.60547    
12/14/2025 23:31:46    590    | -17660.69727    0.003919029143  0.03583031893    | -17660.70117    
12/14/2025 23:31:46    591    | -17660.40625    0.007818897255  0.02875661664    | -17660.41406    
12/14/2025 23:31:46    592    | -17660.52734    0.005867902189  0.0253502205     | -17660.5332     
12/14/2025 23:31:47    593    | -17660.35547    0.02734557912   0.04029935598    | -17660.32812    
12/14/2025 23:31:47    594    | -17660.26758    0.01758096926   0.03532219678    | -17660.25       
12/14/2025 23:31:47    595    | -17660.39258    0.005867902189  0.02655815519    | -17660.38672    
12/14/2025 23:31:47    596    | -17660.06836    0.00197855942   0.0327747874     | -17660.06641    
12/14/2025 23:31:47    597    | -17660.63867    0.007818897255  0.0259414576     | -17660.63086    
12/14/2025 23:31:47    598    | -17660.53711    0.007818897255  0.01813060045    | -17660.54492    
12/14/2025 23:31:47    599    | -17660.44727    0.003919029143  0.03197357804    | -17660.44336    
12/14/2025 23:31:47    600    | -17660.00586    0.009770743549  0.0447190702     | -17659.99609    
12/14/2025 23:31:47    601    | -17660.50977    0.005867902189  0.02133613639    | -17660.50391    
12/14/2025 23:31:47    602    | -17660.25       0.02343963273   0.02962679975    | -17660.27344    
12/14/2025 23:31:47    603    | -17660.73438    0.005867902189  0.02490651421    | -17660.72852    
12/14/2025 23:31:47    604    | -17660.38281    0.02929858118   0.03140268102    | -17660.35352    
