                              | PREDICT_________________________________| EXACT_________
01/24/2025 19:09:56    329    | -17659.97    0.01153946   0.02232375    | -17659.87    
01/24/2025 19:09:56    330    | -17659.26    0.02145767   0.0312513     | -17659.12    
01/24/2025 19:09:56    331    | -17659.73    0.002197266  0.03704918    | -17659.68    
01/24/2025 19:09:56    332    | -17659.37    0.009159088  0.06759561    | -17659.46    
01/24/2025 19:09:56    333    | -17658.71    0.0001869202 0.03643667    | -17658.72    
01/24/2025 19:09:56    334    | -17659.26    0.0161171    0.07671906    | -17659.13    
01/24/2025 19:09:56    335    | -17659.69    1.525879e-05 0.04195472    | -17659.68    
01/24/2025 19:09:56    336    | -17659.05    0.008071899  0.03896296    | -17658.96    
01/24/2025 19:09:56    337    | -17659.58    0.0003089905 0.0339235     | -17659.56    
01/24/2025 19:09:56    338    | -17659.6     0.006103516  0.0215843     | -17659.53    
01/24/2025 19:09:56    339    | -17659.07    0.002017975  0.03684296    | -17659.02    
01/24/2025 19:09:56    340    | -17659.52    0.005802155  0.01880941    | -17659.45    
01/24/2025 19:09:56    341    | -17659.48    1.525879e-05 0.018991      | -17659.48    
01/24/2025 19:09:56    342    | -17659.59    0.009536743  0.02717071    | -17659.5     
01/24/2025 19:09:56    343    | -17659.79    0.007724762  0.02226115    | -17659.7     
01/24/2025 19:09:56    344    | -17659.39    0.006412506  0.03623682    | -17659.31    
01/24/2025 19:09:56    345    | -17659.55    0.01977539   0.0431424     | -17659.41    
01/24/2025 19:09:56    346    | -17659.16    0.01514053   0.03276501    | -17659.04    
01/24/2025 19:09:56    347    | -17659.6     0.01031494   0.03271687    | -17659.5     
01/24/2025 19:09:56    348    | -17659.62    0.01922989   0.02398094    | -17659.48    
01/24/2025 19:09:56    349    | -17659.7     9.536743e-05 0.01760242    | -17659.69    
01/24/2025 19:09:56    350    | -17659.86    0.006412506  0.02249741    | -17659.78    
01/24/2025 19:09:56    351    | -17658.96    0.008789062  0.03602612    | -17658.87    
01/24/2025 19:09:56    352    | -17659.52    0.003433228  0.01869124    | -17659.57    
01/24/2025 19:09:56    353    | -17659.8     0.007724762  0.03006406    | -17659.71    
01/24/2025 19:09:56    354    | -17659.49    0.001682281  0.03263069    | -17659.45    
01/24/2025 19:09:56    355    | -17659.52    0.002780914  0.02753482    | -17659.47    
01/24/2025 19:09:56    356    | -17658.94    0.00320816   0.03497642    | -17658.88    
01/24/2025 19:09:56    357    | -17660.05    0.005222321  0.01682547    | -17659.97    
01/24/2025 19:09:56    358    | -17659.64    0.01661682   0.02207517    | -17659.51    
01/24/2025 19:09:56    359    | -17660.06    0.009159088  0.03845678    | -17659.96    
01/24/2025 19:09:56    360    | -17659.46    0.0004615784 0.02466147    | -17659.44    
01/24/2025 19:09:56    361    | -17659.22    9.536743e-05 0.03348108    | -17659.21    
01/24/2025 19:09:56    362    | -17658.29    3.814697e-06 0.069995      | -17658.29    
01/24/2025 19:09:56    363    | -17659.74    0.006729126  0.03209722    | -17659.66    
01/24/2025 19:09:56    364    | -17659.44    0.0002441406 0.04732984    | -17659.43    
01/24/2025 19:09:56    365    | -17659.72    0.01031494   0.02963158    | -17659.62    
01/24/2025 19:09:56    366    | -17659.17    0.00440979   0.03466022    | -17659.1     
01/24/2025 19:09:56    367    | -17659.24    0.00390625   0.03607855    | -17659.18    
01/24/2025 19:09:56    368    | -17659.45    0.01816177   0.1044662     | -17659.32    
01/24/2025 19:09:56    369    | -17659.86    0.006103516  0.02388445    | -17659.78    
01/24/2025 19:09:56    370    | -17659.22    0.0008583069 0.0300721     | -17659.2     
01/24/2025 19:09:56    371    | -17660.09    0.007724762  0.01410689    | -17660       
01/24/2025 19:09:57    372    | -17660.02    0.01283264   0.01613226    | -17659.9     
01/24/2025 19:09:57    373    | -17659.77    0.01661682   0.04360611    | -17659.64    
01/24/2025 19:09:57    374    | -17659.53    0.0282135    0.03329315    | -17659.36    
01/24/2025 19:09:57    375    | -17659.38    0.04125977   0.02589881    | -17659.18    
01/24/2025 19:09:57    376    | -17659.47    0.01712418   0.03765014    | -17659.34    
01/24/2025 19:09:57    377    | -17659.22    0.007385254  0.02875629    | -17659.14    
01/24/2025 19:09:57    378    | -17659.65    0.0007476807 0.01699344    | -17659.62    
01/24/2025 19:09:57    379    | -17659.09    0.00440979   0.02140181    | -17659.02    
01/24/2025 19:09:57    380    | -17660.04    0.01514053   0.07018302    | -17659.92    
01/24/2025 19:09:57    381    | -17659.42    3.433228e-05 0.04800573    | -17659.43    
01/24/2025 19:09:57    382    | -17659.31    0.01071548   0.05865381    | -17659.21    
01/24/2025 19:09:57    383    | -17659.82    6.103516e-05 0.02328406    | -17659.82    
01/24/2025 19:09:57    384    | -17659.69    0.001682281  0.01731998    | -17659.64    
01/24/2025 19:09:57    385    | -17659.92    0.006729126  0.01934307    | -17659.84    
01/24/2025 19:09:57    386    | -17659.83    0.01283264   0.01666894    | -17659.72    
01/24/2025 19:09:57    387    | -17659.91    0.001235962  0.03297101    | -17659.88    
01/24/2025 19:09:57    388    | -17659.41    0.05401993   0.03151895    | -17659.18    
01/24/2025 19:09:57    389    | -17659.47    0.008789062  0.03111755    | -17659.38    
01/24/2025 19:09:57    390    | -17659.43    0.01816177   0.02970442    | -17659.3     
01/24/2025 19:09:57    391    | -17659.75    0.01239395   0.04069486    | -17659.64    
01/24/2025 19:09:57    392    | -17659.55    0.002780914  0.01819324    | -17659.5     
01/24/2025 19:09:57    393    | -17659.68    0.01373291   0.02477938    | -17659.57    
01/24/2025 19:09:57    394    | -17659.66    1.525879e-05 0.01972307    | -17659.66    
01/24/2025 19:09:57    395    | -17659.79    0.006729126  0.03693469    | -17659.71    
01/24/2025 19:09:57    396    | -17659.7     0.006729126  0.02621689    | -17659.61    
01/24/2025 19:09:57    397    | -17659.77    0.0146637    0.01825855    | -17659.65    
01/24/2025 19:09:57    398    | -17660       0.007053375  0.02551878    | -17659.91    
01/24/2025 19:09:57    399    | -17659.73    0.002578735  0.02207685    | -17659.68    
01/24/2025 19:09:57    400    | -17659.78    0.009536743  0.01372031    | -17659.68    
01/24/2025 19:09:57    401    | -17659.83    0.002578735  0.02169563    | -17659.78    
01/24/2025 19:09:57    402    | -17659.48    0.04367447   0.03080138    | -17659.27    
01/24/2025 19:09:57    403    | -17659.32    0.0161171    0.03003738    | -17659.19    
01/24/2025 19:09:57    404    | -17659.77    0.03299332   0.02363754    | -17659.58    
01/24/2025 19:09:57    405    | -17659.67    0.02502823   0.02319837    | -17659.51    
01/24/2025 19:09:57    406    | -17659.78    0.009922028  0.02604623    | -17659.68    
01/24/2025 19:09:57    407    | -17659.38    0.001235962  0.01979025    | -17659.35    
01/24/2025 19:09:57    408    | -17659.92    0.01816177   0.04191144    | -17659.79    
01/24/2025 19:09:57    409    | -17659.33    0.01514053   0.1888873     | -17659.2     
01/24/2025 19:09:57    410    | -17659.83    0.01869202   0.03341415    | -17659.69    
01/24/2025 19:09:57    411    | -17659.55    0.01869202   0.03191305    | -17659.41    
01/24/2025 19:09:57    412    | -17659.04    0.009159088  0.03874163    | -17658.95    
01/24/2025 19:09:57    413    | -17658.89    0.0001869202 0.04049081    | -17658.88    
01/24/2025 19:09:57    414    | -17659.32    0.02320862   0.0331151     | -17659.17    
01/24/2025 19:09:57    415    | -17659.58    0.01977539   0.02175297    | -17659.44    
01/24/2025 19:09:57    416    | -17659.23    0.005802155  0.03814406    | -17659.15    
01/24/2025 19:09:57    417    | -17659.8     0.004154205  0.01835839    | -17659.73    
01/24/2025 19:09:57    418    | -17659.78    0.001525879  0.05715282    | -17659.74    
01/24/2025 19:09:57    419    | -17659.38    0.01419449   0.03034757    | -17659.26    
01/24/2025 19:09:57    420    | -17659.48    0.02088928   0.0220273     | -17659.34    
01/24/2025 19:09:57    421    | -17659.72    0.02954102   0.02958969    | -17659.55    
01/24/2025 19:09:57    422    | -17659.62    0.01712418   0.02079005    | -17659.49    
01/24/2025 19:09:57    423    | -17659.47    0.0003814697 0.02169371    | -17659.45    
01/24/2025 19:09:57    424    | -17659.31    0.002578735  0.0386516     | -17659.26    
01/24/2025 19:09:58    425    | -17659.09    0.0003089905 0.03393926    | -17659.08    
01/24/2025 19:09:58    426    | -17659.68    0.02261734   0.02408946    | -17659.53    
01/24/2025 19:09:58    427    | -17659.98    0.01514053   0.01518261    | -17659.85    
01/24/2025 19:09:58    428    | -17659.31    0.03515625   0.044429      | -17659.12    
01/24/2025 19:09:58    429    | -17659.46    0.02145767   0.04308831    | -17659.32    
01/24/2025 19:09:58    430    | -17659.64    0.02145767   0.02078778    | -17659.5     
01/24/2025 19:09:58    431    | -17659.63    0.01153946   0.02007568    | -17659.53    
01/24/2025 19:09:58    432    | -17659.11    3.814697e-06 0.02916177    | -17659.11    
01/24/2025 19:09:58    433    | -17659.82    0.006729126  0.02083219    | -17659.74    
01/24/2025 19:09:58    434    | -17658.95    0.009922028  0.03306162    | -17658.85    
01/24/2025 19:09:58    435    | -17659.61    6.103516e-05 0.04971155    | -17659.6     
01/24/2025 19:09:58    436    | -17659.14    6.103516e-05 0.05123118    | -17659.13    
01/24/2025 19:09:58    437    | -17659.12    0.07584      0.05371203    | -17659.4     
01/24/2025 19:09:58    438    | -17659.56    0.0001373291 0.02714696    | -17659.57    
01/24/2025 19:09:58    439    | -17659.76    0.01514053   0.04387763    | -17659.64    
01/24/2025 19:09:58    440    | -17659.32    0.03021622   0.04795663    | -17659.15    
01/24/2025 19:09:58    441    | -17659.11    0.002578735  0.0242429     | -17659.06    
01/24/2025 19:09:58    442    | -17659.63    0.007724762  0.02407608    | -17659.54    
01/24/2025 19:09:58    443    | -17659.16    0.006103516  0.03793041    | -17659.09    
01/24/2025 19:09:58    444    | -17659.98    0.001846313  0.0301479     | -17659.94    
01/24/2025 19:09:58    445    | -17659.78    0.005508423  0.01844358    | -17659.7     
01/24/2025 19:09:58    446    | -17659.95    0.04700089   0.06069057    | -17659.73    
01/24/2025 19:09:58    447    | -17659.78    0.002990723  0.02483725    | -17659.72    
01/24/2025 19:09:58    448    | -17659.8     0.01977539   0.03069318    | -17659.66    
01/24/2025 19:09:58    449    | -17659.75    0.005222321  0.01755458    | -17659.68    
01/24/2025 19:09:58    450    | -17659.48    0.02203369   0.0362587     | -17659.33    
01/24/2025 19:09:58    451    | -17659.56    0.009922028  0.0192957     | -17659.46    
01/24/2025 19:09:58    452    | -17659.79    0.01922989   0.04453467    | -17659.65    
01/24/2025 19:09:58    453    | -17658.92    0.0002441406 0.04131503    | -17658.9     
01/24/2025 19:09:58    454    | -17659.36    0.01816177   0.03992112    | -17659.23    
01/24/2025 19:09:58    455    | -17659.75    0.01922989   0.03138917    | -17659.61    
01/24/2025 19:09:58    456    | -17659.8     0.003665924  0.02343554    | -17659.74    
01/24/2025 19:09:58    457    | -17659.43    0.008426666  0.03667282    | -17659.34    
01/24/2025 19:09:58    458    | -17659.79    0.00390625   0.01438214    | -17659.73    
01/24/2025 19:09:58    459    | -17659.14    9.536743e-05 0.03377325    | -17659.13    
01/24/2025 19:09:58    460    | -17658.89    0.007053375  0.0309988     | -17658.98    
01/24/2025 19:09:58    461    | -17659.72    0.01071548   0.02395573    | -17659.62    
01/24/2025 19:09:58    462    | -17659.01    0.01153946   0.03366607    | -17658.9     
01/24/2025 19:09:58    463    | -17659.69    0.0008583069 0.0213086     | -17659.66    
01/24/2025 19:09:58    464    | -17659.31    0.0003089905 0.05032425    | -17659.3     
01/24/2025 19:09:58    465    | -17659.88    0.008071899  0.02790274    | -17659.79    
01/24/2025 19:09:58    466    | -17659.01    0.002578735  0.0487386     | -17659.06    
01/24/2025 19:09:58    467    | -17659.55    0.0007476807 0.01759264    | -17659.52    
01/24/2025 19:09:58    468    | -17659.11    0.006103516  0.04803354    | -17659.03    
01/24/2025 19:09:58    469    | -17659.49    0.01661682   0.02604965    | -17659.37    
01/24/2025 19:09:58    470    | -17659.7     0.005222321  0.03296608    | -17659.62    
01/24/2025 19:09:58    471    | -17659.83    9.536743e-05 0.04228712    | -17659.82    
01/24/2025 19:09:58    472    | -17659.54    0.002384186  0.06286273    | -17659.49    
01/24/2025 19:09:58    473    | -17659.37    0.03299332   0.0543039     | -17659.19    
01/24/2025 19:09:59    474    | -17659.64    0.015625     0.02837167    | -17659.51    
01/24/2025 19:09:59    475    | -17659.62    0.0006446838 0.03928595    | -17659.59    
01/24/2025 19:09:59    476    | -17659.18    9.536743e-05 0.02055269    | -17659.17    
01/24/2025 19:09:59    477    | -17659.43    0.001525879  0.02615262    | -17659.39    
01/24/2025 19:09:59    478    | -17659.65    0.07055664   0.4233969     | -17659.38    
01/24/2025 19:09:59    479    | -17659.97    0.001377106  0.02280616    | -17659.93    
01/24/2025 19:09:59    480    | -17659.96    0.03663635   0.01861987    | -17659.77    
01/24/2025 19:09:59    481    | -17659.32    0.002017975  0.04967646    | -17659.27    
01/24/2025 19:09:59    482    | -17659.28    0.01239395   0.04363926    | -17659.16    
01/24/2025 19:09:59    483    | -17659.41    9.536743e-05 0.03451874    | -17659.42    
01/24/2025 19:09:59    484    | -17659.64    0.004943848  0.02528857    | -17659.57    
01/24/2025 19:09:59    485    | -17659.63    0.0004615784 0.02645262    | -17659.65    
01/24/2025 19:09:59    486    | -17659.33    0.0002441406 0.02764908    | -17659.35    
01/24/2025 19:09:59    487    | -17659.69    0.0009765625 0.04641642    | -17659.72    
01/24/2025 19:09:59    488    | -17659.77    0.01327896   0.02157416    | -17659.65    
01/24/2025 19:09:59    489    | -17659.72    0.01071548   0.02332068    | -17659.62    
01/24/2025 19:09:59    490    | -17659.36    0.006729126  0.03212784    | -17659.28    
01/24/2025 19:09:59    491    | -17659.37    0.02380753   0.02470089    | -17659.21    
01/24/2025 19:09:59    492    | -17659.41    0.00390625   0.04366723    | -17659.34    
01/24/2025 19:09:59    493    | -17659.42    0.0008583069 0.06063529    | -17659.39    
01/24/2025 19:09:59    494    | -17659.49    0.002578735  0.03105274    | -17659.44    
01/24/2025 19:09:59    495    | -17660.09    0.005222321  0.01420525    | -17660.01    
01/24/2025 19:09:59    496    | -17659.94    0.003665924  0.02188055    | -17659.88    
01/24/2025 19:09:59    497    | -17659.48    0.015625     0.02274746    | -17659.36    
01/24/2025 19:09:59    498    | -17659.8     0.002384186  0.02713223    | -17659.76    
01/24/2025 19:09:59    499    | -17659.66    0.01419449   0.02813203    | -17659.54    
01/24/2025 19:09:59    500    | -17659.12    0.03814697   0.06902504    | -17658.92    
01/24/2025 19:09:59    501    | -17659.6     0.01977539   0.02075133    | -17659.46    
01/24/2025 19:09:59    502    | -17659.71    0.001682281  0.02003276    | -17659.67    
01/24/2025 19:09:59    503    | -17659.98    0.02887344   0.01389431    | -17659.81    
01/24/2025 19:09:59    504    | -17660.09    0.007053375  0.02254733    | -17660.01    
01/24/2025 19:09:59    505    | -17659.1     0.02032852   0.08793364    | -17658.96    
01/24/2025 19:09:59    506    | -17660.03    0.0161171    0.03200687    | -17659.9     
01/24/2025 19:09:59    507    | -17659.41    0.01514053   0.05966134    | -17659.29    
01/24/2025 19:09:59    508    | -17659.63    0.02502823   0.04869108    | -17659.47    
01/24/2025 19:09:59    509    | -17659.15    0.0001869202 0.06558203    | -17659.17    
01/24/2025 19:09:59    510    | -17659.56    0.02380753   0.02486851    | -17659.41    
01/24/2025 19:09:59    511    | -17659.73    0.01712418   0.02034276    | -17659.6     
01/24/2025 19:09:59    512    | -17659.41    0.0001869202 0.054018      | -17659.43    
01/24/2025 19:09:59    513    | -17659.58    0.01327896   0.01528058    | -17659.47    
01/24/2025 19:09:59    514    | -17659.21    0.0005493164 0.04803478    | -17659.19    
01/24/2025 19:09:59    515    | -17659.7     0.00390625   0.02110898    | -17659.64    
01/24/2025 19:09:59    516    | -17659.56    0.001235962  0.01799106    | -17659.53    
01/24/2025 19:09:59    517    | -17659.09    0.006729126  0.03162088    | -17659       
01/24/2025 19:09:59    518    | -17659.19    0.007724762  0.03460689    | -17659.11    
01/24/2025 19:09:59    519    | -17659.26    0.009922028  0.06632562    | -17659.16    
01/24/2025 19:09:59    520    | -17658.96    0.006412506  0.01523142    | -17658.88    
01/24/2025 19:09:59    521    | -17659.82    0.02145767   0.02261324    | -17659.68    
01/24/2025 19:09:59    522    | -17659.62    0.02380753   0.03028343    | -17659.47    
01/24/2025 19:09:59    523    | -17659.54    0.03814697   0.02370235    | -17659.34    
01/24/2025 19:09:59    524    | -17659.32    0.002197266  0.05987417    | -17659.37    
01/24/2025 19:09:59    525    | -17659.56    0.004943848  0.02235231    | -17659.49    
01/24/2025 19:10:00    526    | -17659.12    0.0006446838 0.05100949    | -17659.15    
01/24/2025 19:10:00    527    | -17659.74    9.536743e-05 0.02080427    | -17659.75    
01/24/2025 19:10:00    528    | -17659.42    0.01031494   0.03804726    | -17659.31    
01/24/2025 19:10:00    529    | -17659.68    0.01283264   0.02744672    | -17659.57    
01/24/2025 19:10:00    530    | -17659.73    0.0001373291 0.03609538    | -17659.74    
01/24/2025 19:10:00    531    | -17660.17    0.008071899  0.01403864    | -17660.08    
01/24/2025 19:10:00    532    | -17659.62    0.01327896   0.02378198    | -17659.5     
01/24/2025 19:10:00    533    | -17659.83    0.001525879  0.03242164    | -17659.79    
01/24/2025 19:10:00    534    | -17659.04    9.536743e-05 0.0587741     | -17659.05    
01/24/2025 19:10:00    535    | -17659.39    0.002990723  0.02769005    | -17659.45    
01/24/2025 19:10:00    536    | -17659.28    0.002578735  0.06237036    | -17659.22    
01/24/2025 19:10:00    537    | -17659.72    3.433228e-05 0.03113594    | -17659.73    
01/24/2025 19:10:00    538    | -17659.69    0.015625     0.02073624    | -17659.57    
01/24/2025 19:10:00    539    | -17659.5     0.009922028  0.02694195    | -17659.4     
01/24/2025 19:10:00    540    | -17659.21    0.03021622   0.04419954    | -17659.04    
01/24/2025 19:10:00    541    | -17659.76    0.03158951   0.01955945    | -17659.58    
01/24/2025 19:10:00    542    | -17659.72    0.02320862   0.02631187    | -17659.57    
01/24/2025 19:10:00    543    | -17659.59    0.02088928   0.02523389    | -17659.44    
01/24/2025 19:10:00    544    | -17659.52    0.01514053   0.04929072    | -17659.4     
01/24/2025 19:10:00    545    | -17659.8     0.03158951   0.02905168    | -17659.62    
01/24/2025 19:10:00    546    | -17659.49    0.04286194   0.05984093    | -17659.29    
01/24/2025 19:10:00    547    | -17659.64    0.008426666  0.02704605    | -17659.55    
01/24/2025 19:10:00    548    | -17659.39    0.0002441406 0.03912225    | -17659.38    
01/24/2025 19:10:00    549    | -17659.48    0.009536743  0.01637271    | -17659.38    
01/24/2025 19:10:00    550    | -17659.74    0.01239395   0.02358384    | -17659.63    
01/24/2025 19:10:00    551    | -17659.9     0.0006446838 0.01600213    | -17659.88    
01/24/2025 19:10:00    552    | -17659.81    0.006103516  0.01578146    | -17659.73    
01/24/2025 19:10:00    553    | -17659.59    0.006729126  0.01939561    | -17659.51    
01/24/2025 19:10:00    554    | -17659.35    0.001525879  0.0532884     | -17659.31    
01/24/2025 19:10:00    555    | -17659.85    0.01196289   0.01535102    | -17659.74    
01/24/2025 19:10:00    556    | -17659.81    0.004943848  0.02561427    | -17659.74    
01/24/2025 19:10:00    557    | -17659.09    0.01661682   0.04329713    | -17658.96    
01/24/2025 19:10:00    558    | -17659.38    0.003433228  0.05686426    | -17659.32    
01/24/2025 19:10:00    559    | -17659.18    0.02954102   0.03119651    | -17659.01    
01/24/2025 19:10:00    560    | -17659.62    0.01977539   0.016217      | -17659.48    
01/24/2025 19:10:00    561    | -17659.97    0.01153946   0.05878848    | -17659.86    
01/24/2025 19:10:00    562    | -17659.73    0.009536743  0.03289323    | -17659.64    
01/24/2025 19:10:00    563    | -17659.51    0.03814697   0.01923323    | -17659.32    
01/24/2025 19:10:00    564    | -17659.56    0.03299332   0.09770954    | -17659.38    
01/24/2025 19:10:00    565    | -17659.43    0.006103516  0.01560161    | -17659.35    
01/24/2025 19:10:00    566    | -17659.22    0.01112366   0.03953553    | -17659.12    
01/24/2025 19:10:00    567    | -17659.49    0.01283264   0.02190921    | -17659.38    
01/24/2025 19:10:00    568    | -17659.45    0.0952301    0.06015739    | -17659.14    
01/24/2025 19:10:00    569    | -17659.61    0.02441406   0.02384014    | -17659.45    
01/24/2025 19:10:00    570    | -17659.98    3.433228e-05 0.01648122    | -17659.98    
01/24/2025 19:10:00    571    | -17659.47    0.002384186  0.02650995    | -17659.42    
01/24/2025 19:10:00    572    | -17659.41    0.00390625   0.03020814    | -17659.34    
01/24/2025 19:10:00    573    | -17659.1     0.01071548   0.03041713    | -17659       
01/24/2025 19:10:00    574    | -17659.63    0.01112366   0.04214532    | -17659.74    
01/24/2025 19:10:00    575    | -17659.54    0.005508423  0.03795569    | -17659.46    
01/24/2025 19:10:01    576    | -17659.62    0.002990723  0.02042591    | -17659.57    
01/24/2025 19:10:01    577    | -17659.21    0.02954102   0.03592354    | -17659.04    
01/24/2025 19:10:01    578    | -17659.36    0.002017975  0.0247854     | -17659.32    
01/24/2025 19:10:01    579    | -17659.45    0.02032852   0.04190531    | -17659.3     
01/24/2025 19:10:01    580    | -17659.38    0.004943848  0.03983243    | -17659.31    
01/24/2025 19:10:01    581    | -17659.63    6.103516e-05 0.02473642    | -17659.63    
01/24/2025 19:10:01    582    | -17659.5     0.01196289   0.02550653    | -17659.39    
01/24/2025 19:10:01    583    | -17659.5     0.005508423  0.02579537    | -17659.43    
01/24/2025 19:10:01    584    | -17659.41    0.003433228  0.02031248    | -17659.35    
01/24/2025 19:10:01    585    | -17660.09    0.01869202   0.01891354    | -17659.95    
01/24/2025 19:10:01    586    | -17659.61    0.0161171    0.02143889    | -17659.48    
01/24/2025 19:10:01    587    | -17659.57    0.0005493164 0.04824295    | -17659.54    
01/24/2025 19:10:01    588    | -17659.3     0.003433228  0.08234045    | -17659.24    
01/24/2025 19:10:01    589    | -17659.75    0.02032852   0.02817793    | -17659.61    
01/24/2025 19:10:01    590    | -17659.71    0.01869202   0.02375915    | -17659.57    
01/24/2025 19:10:01    591    | -17659.59    0.02032852   0.02932558    | -17659.44    
01/24/2025 19:10:01    592    | -17659.63    0.02032852   0.0384471     | -17659.49    
01/24/2025 19:10:01    593    | -17659.65    0.0002441406 0.02039841    | -17659.63    
01/24/2025 19:10:01    594    | -17659.26    0.01327896   0.03990307    | -17659.37    
01/24/2025 19:10:01    595    | -17659.22    0.001102448  0.02739917    | -17659.18    
01/24/2025 19:10:01    596    | -17660.03    0.006103516  0.01772806    | -17660.11    
01/24/2025 19:10:01    597    | -17660       0.00390625   0.02768369    | -17660.06    
01/24/2025 19:10:01    598    | -17659.94    0.002780914  0.02437176    | -17659.89    
01/24/2025 19:10:01    599    | -17659.99    0.01153946   0.02717063    | -17659.88    
01/24/2025 19:10:01    600    | -17659.94    0.001377106  0.01598617    | -17659.98    
01/24/2025 19:10:01    601    | -17659.13    0.04205704   0.03966783    | -17658.93    
01/24/2025 19:10:01    602    | -17659.91    0.0006446838 0.02783974    | -17659.89    
01/24/2025 19:10:01    603    | -17659.51    0.0007476807 0.01713283    | -17659.54    
01/24/2025 19:10:01    604    | -17659.43    0.002197266  0.07380456    | -17659.38    
01/24/2025 19:10:01    605    | -17659.34    0.01031494   0.03046266    | -17659.23    
01/24/2025 19:10:01    606    | -17659.1     0.01196289   0.03610229    | -17658.99    
01/24/2025 19:10:01    607    | -17658.88    0.0269165    0.0762021     | -17658.72    
01/24/2025 19:10:01    608    | -17660.04    0.00320816   0.02070988    | -17659.98    
01/24/2025 19:10:01    609    | -17659.96    0.006729126  0.01862505    | -17659.88    
01/24/2025 19:10:01    610    | -17659.23    0.009922028  0.03876336    | -17659.13    
01/24/2025 19:10:01    611    | -17659.21    0.0009765625 0.03370884    | -17659.18    
01/24/2025 19:10:01    612    | -17659.52    0.004943848  0.02431824    | -17659.45    
01/24/2025 19:10:01    613    | -17659.73    3.433228e-05 0.02715754    | -17659.73    
01/24/2025 19:10:01    614    | -17659.54    0.007385254  0.06884032    | -17659.46    
01/24/2025 19:10:01    615    | -17659.18    0.0282135    0.1335139     | -17659.01    
01/24/2025 19:10:01    616    | -17659.24    0.001846313  0.03926985    | -17659.29    
01/24/2025 19:10:01    617    | -17659.21    0.02565002   0.04681569    | -17659.05    
01/24/2025 19:10:01    618    | -17659.67    0.01869202   0.01517799    | -17659.53    
01/24/2025 19:10:01    619    | -17659.45    0.01071548   0.02735732    | -17659.35    
01/24/2025 19:10:01    620    | -17659.71    0.005802155  0.07907698    | -17659.63    
01/24/2025 19:10:01    621    | -17659.22    0.008426666  0.03890661    | -17659.13    
01/24/2025 19:10:01    622    | -17659.85    0.002990723  0.02678638    | -17659.8     
01/24/2025 19:10:01    623    | -17659.6     0.0003814697 0.02676454    | -17659.58    
01/24/2025 19:10:01    624    | -17660.01    0.0005493164 0.01064358    | -17660.04    
01/24/2025 19:10:01    625    | -17658.99    0.05865479   0.03881552    | -17658.75    
01/24/2025 19:10:01    626    | -17659.35    3.433228e-05 0.04758188    | -17659.34    
01/24/2025 19:10:01    627    | -17659.77    0.002017975  0.01553814    | -17659.73    
01/24/2025 19:10:02    628    | -17659.56    0.001846313  0.03265218    | -17659.6     
01/24/2025 19:10:02    629    | -17659.05    0.2035561    0.0630429     | -17659.5     
01/24/2025 19:10:02    630    | -17659.7     0.0009765625 0.02766293    | -17659.73    
01/24/2025 19:10:02    631    | -17659.04    0.001102448  0.07274682    | -17659.07    
01/24/2025 19:10:02    632    | -17659.67    0.04205704   0.02422165    | -17659.47    
01/24/2025 19:10:02    633    | -17658.84    0.2346191    0.0933196     | -17659.33    
01/24/2025 19:10:02    634    | -17659.71    0.01196289   0.02667727    | -17659.82    
01/24/2025 19:10:02    635    | -17658.84    0.005508423  0.05424497    | -17658.92    
01/24/2025 19:10:02    636    | -17659.31    0.01112366   0.05487927    | -17659.21    
01/24/2025 19:10:02    637    | -17659.33    0.01283264   0.04438542    | -17659.44    
01/24/2025 19:10:02    638    | -17659.36    0.0002441406 0.02644631    | -17659.37    
01/24/2025 19:10:02    639    | -17659.53    0.00440979   0.02645972    | -17659.46    
01/24/2025 19:10:02    640    | -17659.97    0.0001869202 0.01574021    | -17659.96    
01/24/2025 19:10:02    641    | -17659.63    0.004154205  0.05052079    | -17659.57    
01/24/2025 19:10:02    642    | -17659.34    0.002990723  0.03386528    | -17659.29    
01/24/2025 19:10:02    643    | -17659.46    0            0.02159391    | -17659.46    
01/24/2025 19:10:02    644    | -17659.71    0.0006446838 0.02406496    | -17659.69    
01/24/2025 19:10:02    645    | -17659.75    0.001682281  0.01867596    | -17659.79    
01/24/2025 19:10:02    646    | -17659.79    0.01031494   0.0155451     | -17659.69    
01/24/2025 19:10:02    647    | -17659.82    0.0007476807 0.02168292    | -17659.85    
01/24/2025 19:10:02    648    | -17659.73    0.01419449   0.02821165    | -17659.61    
01/24/2025 19:10:02    649    | -17659.12    6.103516e-05 0.07884552    | -17659.12    
01/24/2025 19:10:02    650    | -17659.22    0.01763916   0.04542587    | -17659.09    
01/24/2025 19:10:02    651    | -17659.73    0.001682281  0.01940242    | -17659.77    
01/24/2025 19:10:02    652    | -17659.3     0.00440979   0.03123837    | -17659.37    
01/24/2025 19:10:02    653    | -17659.39    0.03663635   0.02398684    | -17659.59    
01/24/2025 19:10:02    654    | -17658.59    0.004154205  0.1816317     | -17658.65    
01/24/2025 19:10:02    655    | -17659.22    0.01112366   0.03760633    | -17659.33    
01/24/2025 19:10:02    656    | -17659.65    0.004154205  0.05095397    | -17659.59    
01/24/2025 19:10:02    657    | -17659.04    0.0006446838 0.0320976     | -17659.06    
01/24/2025 19:10:02    658    | -17659.58    0.0003814697 0.01938076    | -17659.56    
01/24/2025 19:10:02    659    | -17658.98    0.006103516  0.06660493    | -17659.06    
